statefips,avg_ds_pm_pred,year
1,9.7253863786574711,2016
1,9.3187528553336354,2017
1,8.9118843575354085,2018
1,9.1673524997966700,2019
1,8.7303361112061786,2020
10,8.3188322553056297,2016
10,8.2536236635871297,2017
10,7.8782192672825741,2018
10,7.7381315450780503,2019
10,7.2120737183498102,2020
11,8.8243362426351620,2016
11,9.0197742557587817,2017
11,8.6134813040483661,2018
11,8.2597613836381725,2019
11,7.0438881638283198,2020
12,7.4094599058649671,2016
12,8.0963765104953383,2017
12,7.6299327054794521,2018
12,7.5221286434189281,2019
12,8.0107935855890202,2020
13,9.8549488260965132,2016
13,9.3856030061657785,2017
13,8.8733968389922719,2018
13,9.5807158371230087,2019
13,8.9082625618565163,2020
16,7.1464696744232956,2016
16,8.9173821733933989,2017
16,7.8250715270754804,2018
16,6.3847410407281420,2019
16,8.6536290144760809,2020
17,9.2403880588749227,2016
17,9.1371911031325576,2017
17,9.9409027796675635,2018
17,9.4716181071223221,2019
17,8.9732119440330045,2020
18,8.9946043103085910,2016
18,8.6727075887504088,2017
18,9.1866704680062498,2018
18,8.9828649122488282,2019
18,8.7136025588978245,2020
19,7.6805437736049015,2016
19,7.8525124483188045,2017
19,8.2092807139892071,2018
19,7.6198769580738896,2019
19,7.6486575520833333,2020
20,7.1984194166844085,2016
20,7.7629010852161537,2017
20,7.9829323643479808,2018
20,7.4860404234122042,2019
20,8.0317005016248426,2020
21,8.7478689455757308,2016
21,8.6870748301492721,2017
21,8.8656288199520855,2018
21,8.5447766300141286,2019
21,8.2301035196947255,2020
22,8.5397196781229029,2016
22,8.8753366810862773,2017
22,9.1597768252823840,2018
22,8.6320834054313867,2019
22,8.2954608864427332,2020
23,5.9211464839724129,2016
23,6.2415893064824572,2017
23,5.6683256683448464,2018
23,5.4922958201615736,2019
23,5.3699640445214216,2020
24,8.3390288259402122,2016
24,8.4459165837935575,2017
24,8.2022535976101099,2018
24,7.8466246359151746,2019
24,6.7953092692414560,2020
25,6.2256320498856617,2016
25,6.1485385441483026,2017
25,6.7734635013400834,2018
25,6.5977961528439547,2019
25,6.5211418218309384,2020
26,8.5637899575708419,2016
26,8.1530258102178226,2017
26,8.7839556192087545,2018
26,8.5961004496950088,2019
26,7.8679144664750385,2020
27,6.6322700594748368,2016
27,7.0090374182956236,2017
27,7.4851384515930429,2018
27,6.7552608773279975,2019
27,6.5774581340885573,2020
28,8.5576129060125824,2016
28,8.8968036059934097,2017
28,9.1617057758066856,2018
28,9.0366036350071498,2019
28,8.8302888830800254,2020
29,8.2732399308015487,2016
29,8.5638049071187641,2017
29,8.5499684193963949,2018
29,8.0739797087197239,2019
29,8.0567121599566542,2020
30,5.5866698809307765,2016
30,8.2592291866754284,2017
30,6.6435405853510590,2018
30,5.0551131678714047,2019
30,6.1732057317094061,2020
31,6.9358405477833929,2016
31,7.9118457307652693,2017
31,7.6610772376145844,2018
31,6.6788279328458132,2019
31,6.9537505904208540,2020
32,6.4559982226915153,2016
32,6.8265871986600467,2017
32,7.0825496121712428,2018
32,5.6658729556738649,2019
32,8.0704363973708762,2020
33,5.4117492453459294,2016
33,5.2981187740886928,2017
33,5.3153727699094497,2018
33,5.1936279452054795,2019
33,5.4356253005464481,2020
34,8.4877735695276114,2016
34,8.3107474585076422,2017
34,8.3184586662291855,2018
34,8.0228814330243622,2019
34,7.6195979359746244,2020
35,6.0727514346178696,2016
35,6.1091268509621984,2017
35,5.5146520547945205,2018
35,5.1422341065693030,2019
35,6.0867509152112575,2020
36,7.5847876286316052,2016
36,7.5039246773792321,2017
36,7.8669710235260906,2018
36,7.7059812361469423,2019
36,7.4496809479374640,2020
37,8.5155534680938369,2016
37,8.2106689209192634,2017
37,7.7049023483365949,2018
37,7.8367164621907773,2019
37,7.0132101248323026,2020
38,4.8784429833399973,2016
38,6.3630165185432676,2017
38,6.4549616572001336,2018
38,5.3117452990310725,2019
38,5.6294311547310900,2020
39,9.1220861083473377,2016
39,9.0526305331584968,2017
39,9.1364756660993778,2018
39,9.2064419161342522,2019
39,8.1892576300919026,2020
4,7.0879479966912318,2016
4,7.6053679096572649,2017
4,7.3053698683997917,2018
4,5.9146601554785544,2019
4,7.3816801173392777,2020
40,8.3482428082520975,2016
40,8.7415220251970979,2017
40,9.6607226747688520,2018
40,9.0295999633306268,2019
40,9.0896713466204113,2020
41,6.5361179413606491,2016
41,8.7062970801592941,2017
41,8.6537777021332849,2018
41,8.0609191632103376,2019
41,13.0516633448518694,2020
42,9.4862567090558865,2016
42,9.3496690586396754,2017
42,8.7402484549120469,2018
42,8.6947936910505406,2019
42,8.1431640874507229,2020
44,6.4761206355576718,2016
44,6.1739178536918092,2017
44,6.9025011311317001,2018
44,5.9666191326095606,2019
44,6.3274502295081967,2020
45,8.8258161967810870,2016
45,8.5022284362083391,2017
45,7.7298287908492651,2018
45,8.0604075623431276,2019
45,7.6390342696884461,2020
46,5.2404980027568552,2016
46,5.8810452795261014,2017
46,5.7934319387881032,2018
46,4.8469858200666420,2019
46,5.5843596509054780,2020
47,9.0165914554062588,2016
47,8.4901254966554113,2017
47,8.2144827884078660,2018
47,7.9443802564032174,2019
47,7.5061709296685010,2020
48,8.3167957124990379,2016
48,9.0942848089648591,2017
48,9.4606227610014027,2018
48,9.0667613403486450,2019
48,8.8885475352782321,2020
49,7.4838723490297758,2016
49,7.3745672770478054,2017
49,7.5699256779424098,2018
49,6.0897540956108471,2019
49,7.5447919910248191,2020
5,8.9969055482802020,2016
5,9.0799442230121011,2017
5,9.2398998043052838,2018
5,8.9859554934302488,2019
5,8.3118184371451905,2020
50,5.0813160838382038,2016
50,5.5399174806432400,2017
50,6.1099638028588446,2018
50,5.6620814026206075,2019
50,5.8016037968232396,2020
51,7.7939156824986900,2016
51,7.8716774557212350,2017
51,7.5337290211758592,2018
51,7.5583529916133782,2019
51,6.8321173496024702,2020
53,6.3729216655533919,2016
53,8.1794670532808598,2017
53,7.8429573204419890,2018
53,7.0168790830999773,2019
53,9.5256866392830013,2020
54,7.7683249517906336,2016
54,8.0240178874674516,2017
54,7.6397454771878184,2018
54,7.4838622891429865,2019
54,6.8718770441762245,2020
55,7.8751848893001939,2016
55,6.9018974223007807,2017
55,7.8036833190946138,2018
55,7.9902528187754701,2019
55,7.8912715761944250,2020
56,4.2650890815946349,2016
56,5.1680663553341636,2017
56,4.9533122249896222,2018
56,3.4965162930676629,2019
56,4.6523554132513661,2020
6,9.7445398549261887,2016
6,10.6130103213385129,2017
6,11.6977257742111361,2018
6,8.7005394029850746,2019
6,12.2526799654257405,2020
8,6.4613578705149912,2016
8,6.9324944448709653,2017
8,7.2272880221985808,2018
8,6.4429862487250074,2019
8,7.5030330889989086,2020
9,7.1726999372804155,2016
9,6.4590581125964605,2017
9,7.3704599467918106,2018
9,7.2835365996331609,2019
9,7.6652247058896336,2020
